,ratings,reviews,Whistleblower,sentiment
38,1,"I purchased these shoes less than a year ago. I have an exorbitant amount of sneakers, so this is certainly not due to wear and tear. I simply soaked these in Oxy Clean, as I have with MANY other Nike shoe products, for a few hours and this was the end result. While this will not deter me from purchasing Nike products now or in the future, I respectfully request a replacement pair.",0,0
39,5,"Overall, the quality is good. My foot is kinda wide so they scrunch my feet up a little more than I'm used to..nothing uncomfortable, just snug. I don't plan on wearing these often so I'm happy with these overall. My girlfriend loved them but they didn't have em in her size.",0,1
40,4,Comfortable and great quality for the price. Fits as expected. Good price point for the product.,0,1
41,3,I have always like how these shoes look. But after buying my first pair I won't but anymore again shoe was very narrow and uncomfortable by the middle of the day.,0,0
42,5,I had a pair of these before and they are awesome. I have flat feet so it's hard to find shoes that don't kill my feet since I stand all day at work and these are perfect once broken in.,0,1
43,1,These shoes are incredibly uncomfortable. I have ordered a number of these same shoes in the past and never had a pair that was so painful. There are sharp protrusions on the inside of the shoe and they are impossible to wear at all even to try to break them in. I have been trying to break them in but they are just too painful. I want to send them back please.,0,0
44,4,"We went a half-size up but it wasn't enough. Had to go a full size up. My boyfriend had to take out the soles for the fit to be bearable.Note, he does have slightly wide feet but has never had this issue with any other shoe.",0,1
45,1,The back of both shoes broke and popped the air in 2 days of simple walking on flat surfaces.Then the nylon above the toe area turned cream colored in 2 days and wasnt near any dirt or water.Dont waste your time unless it's for a one time wear.,0,0
46,5,"Needed black color shoes for work, they look really nice, and very comfortable.",0,1
47,2,One shoe fits good the other not!,0,0
48,1,"The quality of the product so badly,cheap and poor. Most likely cheap chinese fake. The foots all the time sweating (This means that the sneakers do not breathe) and according to this you get smell, also I use sneakers just one-two times per week. After 4 month you can see on pics what happened( the shoe sole peeled off) I WANT MY MONEY BACK!!!!!!!!!!",1,0
49,4,"Everything about this shoe I love! The only reason its not a 5 star is because out the box the shoes had some scuffs/imperfections. But, not anything i'm too worried about. Would recommend!",0,1
50,5,I love these sneakers! Love the bright green and they are super comfy.Going to buy another pair on payday.,0,1
51,1,"Terrible. They are fake af and I've learned my lesson. Don't buy from other sellers. Even if it has a reasonable price, don't do it. It's best to buy it from a legitimate source like Foot Locker, Champs, etc or just buy it in person.",1,0
52,5,Love this color of red. They really POP! Look good with everything. Just remember that these shoes wear tight. Always order a half or full size bigger.,0,1
53,5,Exactly as described! Arrived quickly!! GREAT EXPERIENCE!!,0,1
54,4,Very comfortable shoe pricy but you get what you pay for at times,0,1
55,3,I was disappointed with the quality,0,0
56,5,"This shoes is awesome. I love it confortable, color.",0,1
57,5,Fits small must order one size larger,0,1
58,5,"Fast delivery - great fit as always with most Nike products, a must buy for any Airmax fan",0,1
59,5,Very unique and comfortable. I get compliments EVERY time I rock them!,0,1
60,1,Shoes were so stiff and skinny I could barely get my foot in it ... I went up a half size and knew immediately once I tried to insert my foot I would have to return ... they weren't even close ... and now I have to pay five dollars to return them like it's some kind of scam with the Wrong size tag sewn in so you have to pay 5 bucks,0,0
61,5,"Only thing is I was required to sign for the package, and I didn't know that. So it took a while to be able to make it to the post office to pick it up, since I'm at work everyday with nobody at home to sign for it. That should just be made more clear when ordering. But great product!",0,1
62,5,Hike in them every morning. Really well made. Well worth the money. Nike earns their reputation.,0,1
63,5,"Exact what I wanted, sold by Dicks. Legit shoes. The description was accurate.",0,1
64,3,"One shoe perfect, the other had manufacturing defect in finish. Was refunded with no trouble at all.",0,0
65,5,Usually air max tends to run a little smaller so we bought a size up and it fit perfectly. They look awesome and are very easy to clean!!,0,1
66,5,"Great retro look, loves these sneaks!",0,1
67,5,Soft stylish and fits very comfortably.,0,1
68,5,"Great fit, this was a gift and the recipient couldn't be happier, he loves the unique color combo... well made, high quality, recommend!",0,1
69,5,My son loves the shoes.,0,1
70,5,Very comfortable,0,1
71,1,Wrong color the order showed me a black pair w/ orange/pink accents and I get totally black shoes very displeased 🤬,0,0
72,5,"Very pleased with these beauty’s. Arrived at my house a day early, and I live in Hawai’i. Was very impressed. Mahalo.",0,1
73,5,It’s very fashionable. But it fits really snug like all air max shoes . The color is more pink then unexpected but I like it .,0,1
74,1,Poor quality,0,0
75,5,Nice,0,1
76,5,"very good quality! wearing them in spring and autumn because it's pretty warm sneakers.At 30 degree by Celcium is summer in my country.sneakers made from nice firm fabric, but still it's gonna be less rigid and protected to scratches than leather one.",0,1
77,5,"This is a great pair. Very nice look, fits great.I don't run or work out with these, there are a little heavier than your ordinary shoes.",0,1
78,5,Todo bien,0,1
81,5,love the style great for casual wear.,0,1
82,5,"I have bought these for my husband, this is his 5th pair. Comfortable and stylish.",0,1
83,5,I disliked the price..$139.00All the other stores have them priced no more than $120.00,0,1
84,5,Ended up being awesome. Everyone compliments them.,0,1
85,5,Great shoes. Very comfortable . . . and I have problem feet. I recommend them. Im always unsure of buying shoes over the internet but I was not disappointed in these.,0,1
86,5,I love the shoes but they are a little tight,0,1
87,3,These are not dark charcoal gray almost black. They are a light-medium gray.,0,0
88,5,Good buy. Love the shoe and safely packaged to avoid any damage.,0,1
89,5,My son loves these shoes. Fit great and colors are perfect.,0,1
90,5,I brought these shoes for my boyfriend and they look great and fit as expected. I will definitely purchase more shoes from this company in the future. Keep up the great work.,0,1
91,4,My son is happy with them. $30 cheaper than in the store. I have my doubts about authenticity but hes happy so I aint going to worry about it,1,1
92,5,"On time and not problem with the shoes, they look and feel great, I'd buy again soon",0,1
93,4,This shoes is nice but today when I washes my shoes my left shoes one site blue Rabar paint coming out but shoes nice & perfect,0,1
94,5,Shoes look and fit my son great!!,0,1
95,5,I like this one too l ended up always wearing it for my job,0,1
96,5,Love these shoes I love the colors,0,1
97,4,very good looking nice shoe,0,1
98,5,This shoe looks soooooo much better than the picture looked. We are glad we took a chance. The flick in the sole is cool.,0,1
99,5,very nice,0,1
100,4,OVERALL A PRETTY NICE SHOE. I THOUGHT THEY'D BE MORE COMFORTABLE THOUGH. THE LEATHER ISN'T VERY SOFT.,0,1
101,5,Very comfortable as expected and stylish. The air max line good for people who get sore feet easily,0,1
102,5,I love air max and these shoes fit their stylish and the colors are cool,0,1
103,5,"I painted these and they came out amazing. I love the Air Max for their look and their fit. Roomy and comfortable. I wouldn't suggest using them for cross trainers, but they're an awesome casual shoe. Heh, at least to me.",0,1
104,5,"Nice looking sneaker. Bought for my son, yet to see if they fit.",0,1
105,5,Traditional Air Max,0,1
106,5,Good quality,0,1
107,5,My 15yo son has been asking for these shoes for months. He got them the night before the first day of school and was on top of the world. He loves them.,0,1
108,5,Just what I expected,0,1
109,5,My son loves these.,0,1
110,5,Great shoes! The color and the fact that they are Nike's are the reason I purchased them. I am on my feet at least eight hours a day so I needed a shoe that was comfortable. This is the second pair of Nikes I have purchased because they are comfortable and look good.,0,1
111,5,Color,0,1
112,5,"This is what I was looking for, I use it for everyday comfort",0,1
113,5,Still wearing them over a year later very comfortable,0,1
114,5,These are great shoes.,0,1
115,3,He says it’s really firm at ankle.,0,0
116,5,Love these shoes,0,1
117,5,Love them,0,1
118,3,"Not so comfortable, very firm",0,0
119,5,Very comfortable and great for the price,0,1
120,4,The air cushion in the heel is the reason I buy air nike. the only sneaker I can wear and they look good.,0,1
121,5,Nice,0,1
122,5,Thank,0,1
123,5,I love my sneakers. They fit well. Good support because I am obese. Great color blue. Matches my uniforms. Bought 2 more pairs.,0,1
124,5,Fits my dad perfectly,0,1
125,5,Really stylish,0,1
126,5,Nike what can say more,0,1
127,5,They came just a tad tighter than Nike Air Max usually fits me. But these are 100% legit. I'm a sneakerhead do I'm very picky. These came w/o any scuffs or marks. Clean laces. The whole 9. I live in ny where it's possible to get anything at any time and I promise you won't be able to walk into a store and just grab a pair.,0,1
128,5,I have been buying these shoes for 9 years,0,1
129,1,"Ordered white, the color was off part of the shoe white and part off white almost beige like they have been washed...my son has two pairs of these shoes from a local shoe store and they never looked like this..can't return them because he didn't notice it untill he was outside!",0,0
130,5,Little tight in the toes! But they are comfortable I have planter factious and have no pain at all! Love the look of them and I’m an adidas fan!,0,1
131,5,Just a smidge too large,0,1
132,5,Wonderful shoe,0,1
133,5,Exactly what I wanted,0,1
134,4,Comfortable,0,1
135,4,"For me personally, I Didn’t like the stitching/craftsmanship... but other then that the shoe was fine",0,1
136,5,This sneaker was absolutely perfect. I ordered a half size bigger than my normal size. Wore them back in the day and they are still amazing,0,1
137,5,"excellent, I recommend it",0,1
138,5,The Nike sneaks are well made!!,0,1
139,5,I been looking for these. I had a pair in 97.,0,1
141,5,Great shoe with lots of compliments,0,1
142,5,Picky 15 year old. I like the price and shipping,0,1
143,5,Great fit,0,1
144,5,This was the first time I used Amazon and I was very please with your service. My son got his package on time as Amazon promise. Plus he like the sneakers I pick for him. So that made me happy.,0,1
145,5,Great shoes I out ran the cops in them,0,1
146,5,Perfect!,0,1
147,4,Shoe was narrow,0,1
148,5,Fits well. This is not my first pair. Its comfortable and wears well.,0,1
149,5,Very good looking shoe. Feels great on,0,1
150,5,I wish they were just a bit firmer. But I love them. They turn heads and look amazing,0,1
151,5,Good fast shipping just a little snug,0,1
152,5,Love them,0,1
153,5,My husband loves them!,0,1
154,5,Awesome shoes fits perfect,0,1
155,5,"Very durable dope shoes, great old school feel and comfort. can use to play sports or casual wear.",0,1
156,5,Comfortable and looks great,0,1
157,5,I an very picky when it comes to shoes. So you can trust me when I tell you these shoes are perfect. Great throwback. Awesome quality.,0,1
158,4,"Nice shoes, a little narrow in the toe.",0,1
159,5,Favorite,0,1
160,3,Starting to squeak already day one. Not a good sign,0,0
161,1,Ulgy shoe good thing it was bought by a begging friend who didn't mind looking like a duff,0,0
162,5,perfect!,0,1
163,5,Nike has done it again.,0,1
164,5,Had hip surgery about a year ago and when I walk on the cement is very comfortable now . Shoe could be wider in the toe area very narrow,0,1
165,5,Gift,0,1
166,5,Fits perfectly,0,1
167,5,Shoes fit perfect! Shipping was super fast! Two thumbs up!!,0,1
168,5,"Super awesome running shoes... I love it... It makes my runs fantastic. Also, I can wear it everyday for school too...",0,1
169,5,These shoes are dope.,0,1
170,4,"Pretty good shoe, But me just being very picky something that average person wouldn't care about but I saw little marks. Once again I'm just being picky. Great shoe came with Original Nike Air Box, White no flaws except what I pointed out. So I would buy these again if something was to ever happen to the set I have.",0,1
171,5,I bought these for my husband. He was in Iraq and came home with a disability to his feet and back and he swears by the Air Max ones for comfort.,0,1
172,5,"Great sneakers, 100% official no fake/knock offs here... I own several pairs of Nike Air Max 90, and i am proud to have these added to my collection. Will order again for sure!",0,1
173,4,Nice,0,1
174,5,Me encantaron son lo mejor,0,1
175,4,"Not sure if these are 100% original nike shoes, but they are good quality product and i love tje color scheme!",1,1
176,4,great shoe,0,1
177,5,Kool,0,1
178,5,get the next half size up,0,1
179,5,Just for wearing,0,1
180,5,Very comfortable.,0,1
181,1,"The shoes came in with extra factory glue, and the threading looked undone/like it came off. The shoes look like fakes/replaces. The box also came In ripped and dagamed.",1,0
182,5,very nice. It was a gift.,0,1
183,5,Great,0,1
184,1,I recently purchased a pair of all white air max 90's and I am completely disappointed with the quality of the shoes considering the fact that the leather from the right shoe on the toe began to lift up and wrinkle after the first wear which did't happen with the left shoe. This makes me question the authenticity of the shoes considering the fact that I have purchased air max 90 shoes before and this has never happened even after years of wearing them. I do wish to get a refund for my money back due to the fact that these shoes do not hold up to the quality that nike endorses.,1,0
185,5,This is my favorite style of Nike’s,0,1
186,5,I love it. Will probably buy another one,0,1
187,4,sneakers. fit as expected.,0,1
188,5,Boyfriend loves the shoe and will probably make another purchase for self. Great buy happy customer.,0,1
189,5,Gave them as a birthday present.,0,1
190,5,"Great pair to have in your collection, A+++",0,1
191,5,Exactly what I wanted,0,1
192,5,These shoes fit and are very comfortable and there is really nothing I can say bad these shoes,0,1
193,5,True to fit,0,1
194,5,I love the shoes and they fit great,0,1
195,3,Bought these because nike didn't have them. But the glue on the side is coming off. I would just by straight from Nike,0,0
196,5,Vibrant navy blue,0,1
197,5,Left shoes little small,0,1
198,5,I love these shoes,0,1
199,5,"Great shoe, fits perfect, no complaint",0,1
200,5,Bought for friends son he loves them,0,1
201,5,Air max 90 or none at all,0,1
202,5,Perfect,0,1
203,4,"Theyre ok, apparently Vietnamese, but nikes are nikes",0,1
204,5,Very happy with these!,0,1
205,4,good product. easy to run. good suspension by air cushion.,0,1
206,5,"It's nice, and looks sharp while being pretty comfortable. I'm happy",0,1
207,2,They just look cheap,0,0
208,5,I love these shoes. They arrived in mint condition. They fit perfectly. I will be ordering more soon.,0,1
209,5,LOVE THESE SNEAKERS,0,1
210,5,Good price,0,1
211,3,It fits tite I rock Jordan’s and thought they fit like them but I should have ordered a size bigger when I ordered the max air,0,0
212,1,Too small,0,0
213,5,"Comfortable and eye catching. Although he picked them out himself, they are better than I expected with a pebbly textured on the red suede portion. He gets lots of compliments on them. Fit is as expected.",0,1
214,5,Comfiest shoe ever!,0,1
215,4,The shoe runs a little small but walking is very comfortable in these shores!!,0,1
216,4,Son loves them and they can take a beating.,0,1
217,5,love it,0,1
218,5,"Shipping was fast. The shoes fit comfortably, and look great. Will definitely buy another pair when these get work out.",0,1
219,5,I love it,0,1
220,5,Bought them for a friend and they absolutely love them,0,1
221,4,Just what I wanted. Except there was a flaw little small ball of padding in between leather and lining on top of the .. just decided to live with it instead of returning..,0,1
222,3,Happy,0,0
223,5,The shoes 4 good,0,1
224,5,My daughter absolutely loves these,0,1
225,5,Nice,0,1
226,5,Exactly as advertised!,0,1
227,5,"Awesome Air-Max 90's. In my opinion these look better than the legendary Infra-Red color scheme. Be warned though, these run a bit small.",0,1
228,5,Love the fit and the quality! Plan on buying another pair!,0,1
229,5,Nice,0,1
230,5,Great product and good fit,0,1
231,5,Love the color,0,1
232,5,Love this shoe. Great buy. True to size. Came right on time. Comfortable throughout my 5k walk,0,1
233,5,Shoes looks better in real fits perfect and also very comfortable,0,1
234,5,My son loves the shoes!,0,1
235,5,Gift,0,1
236,5,Loved the fit and the design .,0,1
237,5,Love the color!,0,1
238,5,Simply love this tennis shoes !,0,1
239,5,Returning it for a smaller size.,0,1
240,5,These shoes are gorgeous!,0,1
241,5,Size and quality are perfect as air Max always is,0,1
242,5,Just good as I expected,0,1
243,5,Great price for the brand.....,0,1
244,4,"This was my second time buying this style, I prefer the color of my previous one but nike does not make this style anymore.",0,1
245,5,Excellent shoes. This is my third pair. Well cushioned for springy comfort. They keep reasonably presentable after heavy battering in challenging conditions. Easy to clean. Recommend.,0,1
246,5,Comfortable!,0,1
247,5,Love them very comfortable.,0,1
248,5,Very comfortable and lightweight.,0,1
249,5,My husband loved them,0,1
250,5,I bought this pair of shoes for my dad and not only are they esthetically pleasing but very comfortable.,0,1
251,3,"The shoe is great, very comfy. I ordered these for work but the shoe was a lighter dark blue and not black. Two stars off for that. I ended keeping them for othet purposes",0,0
252,5,I little bit uncomfi,0,1
253,5,Great shoe love them...,0,1
254,5,I got these pair of shoes for my husband and totally loves it. The color and fitting was perfect! The delivery took a little longer but it was not a big deal to me.,0,1
255,3,looks better in the picture,0,0
256,5,Exactly what I needed for a great price,0,1
257,5,Unique,0,1
258,5,They are exactly what expected. I love the Nike Air Max 90's. They are my go to tennis shoes. Fit is good and the color is exactly the same as the picture. Faster than promised delivery.,0,1
259,5,Very sturdy and comfortable sneakers. Bought the same style but with different colors and was very pleased with both pairs. Will definitely buy more.,0,1
260,5,Great fit.,0,1
261,5,Good stuff,0,1
262,5,They were excellent.,0,1
263,5,"They appear well made, look nice, sturdy.",0,1
264,5,Sharp item! Arrived very fast! My son loves this product!! & It was his Christmas gift...,0,1
265,5,Husband loves them,0,1
266,5,Great,0,1
267,4,"Classic Air max 90's, I use these for work 5 days a week (12 hour shift) and they are holding up fine after 8 months.",0,1
268,4,I love the shoes I use them for work so they're doing okay however they are a little narrow but other than that they are great,0,1
269,5,All good,0,1
270,5,Had a pair of these for a couple years and they finally wore out and got too dirty.Took a while to find another pair in the same color but finally did. Very comfortable shoes.,0,1
271,4,They are Nikes. Pretty standard across the board.,0,1
272,4,Size is not usual to Nike fit when purchased in store.,0,1
273,3,Over priced,0,0
274,5,Good quality product for the price,0,1
275,5,I know what size I wear in Air Maxs' so I wasn't too worried about fit. Typically order my shoes online to get colors/styles/sizes that aren't locally available. Just what I wanted.,0,1
276,5,Very comfortable shoe,0,1
277,5,I'm satisfied with the quality so far; the product seems to be genuine and solid.,0,1
278,4,Very happy with the process and shoes.,0,1
279,5,Perfect.,0,1
280,4,Luv them!! Wear 8 in womens n got an6 in mens..,0,1
281,3,"Right size, but really narrow. Trouble getting my feet in them.",0,0
282,5,My go to Air Maxes for anything,0,1
283,1,After a week of light wear the air pocket broke,0,0
284,5,Great look and feels comfortable,0,1
285,5,Expensive but very good.,0,1
286,5,Feel so comfortable all the time,0,1
287,5,great comfortable shoes.,0,1
288,5,my son love it,0,1
289,5,My husband loved these,0,1
290,4,I love :) this shoes,0,1
291,1,Came with creases,0,0
292,5,This is my second pair I bought after I had one for years. Very comfortable and looks good.,0,1
293,5,I get complimented every time I wear them,0,1
294,5,DOPE!!!,0,1
295,5,"one of the best pair of shoes I've ever gotten, too bad they past away in only a year",0,1
296,4,Love these sneakers and have been wearing airmax's for almost exclusively for close to 10 years now. I would have given a 5 star rating if they weren't so expensive.,0,1
297,1,"I ordered a size 12, same size I always order.Even ordered them from my order history size 12. I recieved a size 13 shoe..",0,0
298,5,Great shoe comfy and no flaws,0,1
299,5,Great seller. Item as described.,0,1
301,5,I just received this morning @11:30am and they're new in a box as expected.,0,1
302,5,My dad loved these!,0,1
303,5,Love them!!,0,1
304,5,Perfect,0,1
305,5,Perfecto,0,1
306,5,My husband loves these! He's always loved the Air Max 90 and the colors are great.,0,1
307,5,Love them. Perfect,0,1
308,5,Nice shoes,0,1
309,4,Someone pleased however I ordered a pair of white Nikes last year with the fish net type of design was thinking this was the same design from Nike. I ordered last year. unfortunately it wasn't.,0,1
310,5,LOVE 'EM!!!!!!!! Sooo comfortable! Great support & they look great as well. 5 stars!!!!!!!,0,1
311,5,Nice really nice,0,1
312,5,"Great product, just as in the picture. Perfect fit. Delivered on time.",0,1
313,5,My husband loves his new shoes loves the fabric Nd how comfortable they are!!!!!,0,1
314,5,Extremely happy with my purchase and I will order again.,0,1
315,4,so nice but bottom shape’s not my style..any other things goodbest things weight very very light,0,1
316,4,Thought laces & heel color were a neon orange but it's actually hot pink! No worries I still rocked them,0,1
317,5,Love them,0,1
318,5,Very comfortable. Been wearing them to work almost every day.,0,1
319,1,The shoe was of very poor quality and had a manufacturing defect which led to a burst air bubble.,0,0
320,5,They were so hard to find but I found them and I love them,0,1
321,5,Great quality!!,0,1
322,5,Delivered before time product just as expected fresh pair of kicks at a affordable price.,0,1
323,5,Great for the money,0,1
324,5,Love the shoes,0,1
325,3,Shoe came dirty but other than that good for the price,0,0
326,5,"These 90’s are Classic, love them they’re on point.",0,1
327,5,"The shoe is nice but the color is a little on the yellow beige side, still a very nice shoe. I wish it didn’t have suede so it can be easier to clean",0,1
328,5,the fit was just right,0,1
329,4,The width was a little snug but other than that I really like it.,0,1
330,5,These sneakers are amazing. Very stylish and I was fortunate enough to find them on amazon. I couldn't find them anywhere else.,0,1
331,5,Great shoes that's all I can say.. I get a lot of compliments,0,1
332,3,Small,0,0
333,5,Great fit and compliments,0,1
334,4,"Nice shoe, but didn't fit as well as I needed it to fit.",0,1
335,5,"I like that it fits just wrong, for my Kansas City Chiefs gear......",0,1
336,5,Amazing shoes,0,1
337,5,Awesome,0,1
338,5,"Very nice, clean looking shoe. Would and will reorder when the time is needed.",0,1
339,5,Love Love Love these shoes!!!! They look great on my feet and feel oh so comfortable. buying another pair right away!,0,1
340,5,Bought them Saturday and got them on Monday very happy!!! And they were the color I was looking for :) happy customer,0,1
341,5,It’s good,0,1
342,5,"Really like these gumshoes, also bought a pair of blue ones, very comfortable considering i shattered both ankles and hard to find comfortable gym shoes",0,1
343,5,Although somewhat larger than expected I love them different shoe brands fit differently so it's always a guessing game but I always wanted these shoes and to most it's not a big accomplishments but I'm happy and very blessed,0,1
344,4,The sneakers way comfortable but it's narrow,0,1
345,5,Super supportive!!,0,1
346,3,Lengthwise they are perfect but they are much narrower than I expected. Hoping that with some wear they'll stretch out enough.,0,0
347,5,My husband love em!,0,1
348,5,Comfortable shoes with a great look.,0,1
350,5,Looks great recieved my sneakers sneaker super quick from seller AthletesCompany,0,1
351,5,"great fit, fell great. and look great too.",0,1
352,5,awesome shoe just as described,0,1
353,5,"As expected, great shoes by nike, all white is great for summer",0,1
354,5,Bought them for my husband's birthday and he loves them. He said they are very comfortable.,0,1
355,4,"Looks great and there Real... Most important, but box looked old.",0,1
